Settings,Ustawienia
Exit,Wyjdz
Default,Domyślny
Dagger,Sztylet
Wild,Dziki
Defense,Obrona
Hungry,Głodny
Letter,List
Shield,Tarcza
Movement,Ruch
Smell,Zapach
Warrior,Wojownik
Message,Wiadomość
Bow,Łuk
Empty,Pusty
To give,Dać
Armor,Zbroja
Weapon,Broń
Sword,Miecz
To buy,Kupić
To sell,Sprzedać
To need,Potrzebować
Have to,Musieć
To know,Wiedzieć
Wedding,Ślub
To come back,Wróć
To open,Otworzyć
To close,Zamknąć
Fishing rod,Wędka
To fish,Łowić
Bone,Ość
Stone,Kamień
Blacksmith,Kowal
Poisonous,Trujący
Ambush,Zasadzka
Strength,Siła
Mountain,Góra
Desert,Pustynia
Valley,Dolina
Gold,Złoto
Silver,Srebro
Copper,Miedź
Iron,Żelarzo
Steel,Stal
Cloud,Chmura
To die (perfective),Umrzeć
To die (imperfective),Umierać
Pickaxe,Kilof
To mine,Wydobywać
Happy,Szczesliwy
To kill (perfective),Zabić
To kill (imperfective),Zabijać
Mission,Misja
Fire,Ogień
To get,Dostać
Mistake,Błąd
To help,Pomóc
King,Król
Tail,Ogon
To know (someone),Znać
Noble (adj),Szlachetny